game,origin,action,projection,hub_player_id,mapping_id,participation_id,participant_key,engine_db_id,runtime_key,remote_payload_id,resolved_runtime_key,action_result,scope
quiz,QR_HUB,admin_set_score,HTTP,101,301,201,p:00000000-0000-4000-8000-000000000001,201,p:00000000-0000-4000-8000-000000000001,201,,HTTP_ACK_RUNTIME_NOT_UPDATED,"real registration/hydration, capacity filter, UI payload and handler; HTTP/Hub storage fixtures"
quiz,QR_HUB,admin_set_score,WS,101,301,201,p:00000000-0000-4000-8000-000000000001,201,p:00000000-0000-4000-8000-000000000001,p:00000000-0000-4000-8000-000000000001,p:00000000-0000-4000-8000-000000000001,OK,"real registration/hydration, capacity filter, UI payload and handler; HTTP/Hub storage fixtures"
quiz,HUB_REMOTE,admin_set_score,HTTP,102,302,202,p:00000000-0000-4000-8000-000000000002,202,p:00000000-0000-4000-8000-000000000002,202,,HTTP_ACK_RUNTIME_NOT_UPDATED,"real registration/hydration, capacity filter, UI payload and handler; HTTP/Hub storage fixtures"
quiz,HUB_REMOTE,admin_set_score,WS,102,302,202,p:00000000-0000-4000-8000-000000000002,202,p:00000000-0000-4000-8000-000000000002,p:00000000-0000-4000-8000-000000000002,p:00000000-0000-4000-8000-000000000002,OK,"real registration/hydration, capacity filter, UI payload and handler; HTTP/Hub storage fixtures"
quiz,REMOTE_SESSION,admin_set_score,HTTP,,,203,p:00000000-0000-4000-8000-000000000003,203,p:00000000-0000-4000-8000-000000000003,203,,HTTP_ACK_RUNTIME_NOT_UPDATED,"real registration/hydration, capacity filter, UI payload and handler; HTTP/Hub storage fixtures"
quiz,REMOTE_SESSION,admin_set_score,WS,,,203,p:00000000-0000-4000-8000-000000000003,203,p:00000000-0000-4000-8000-000000000003,p:00000000-0000-4000-8000-000000000003,p:00000000-0000-4000-8000-000000000003,OK,"real registration/hydration, capacity filter, UI payload and handler; HTTP/Hub storage fixtures"
quiz,FREE_ENTRY,admin_set_score,HTTP,,,204,p:00000000-0000-4000-8000-000000000004,204,p:00000000-0000-4000-8000-000000000004,204,,HTTP_ACK_RUNTIME_NOT_UPDATED,"real registration/hydration, capacity filter, UI payload and handler; HTTP/Hub storage fixtures"
quiz,FREE_ENTRY,admin_set_score,WS,,,204,p:00000000-0000-4000-8000-000000000004,204,p:00000000-0000-4000-8000-000000000004,p:00000000-0000-4000-8000-000000000004,p:00000000-0000-4000-8000-000000000004,OK,"real registration/hydration, capacity filter, UI payload and handler; HTTP/Hub storage fixtures"
quiz,EXISTING,admin_set_score,HTTP,,,205,p:00000000-0000-4000-8000-000000000005,205,p:00000000-0000-4000-8000-000000000005,205,,HTTP_ACK_RUNTIME_NOT_UPDATED,"real registration/hydration, capacity filter, UI payload and handler; HTTP/Hub storage fixtures"
quiz,EXISTING,admin_set_score,WS,,,205,p:00000000-0000-4000-8000-000000000005,205,p:00000000-0000-4000-8000-000000000005,p:00000000-0000-4000-8000-000000000005,p:00000000-0000-4000-8000-000000000005,OK,"real registration/hydration, capacity filter, UI payload and handler; HTTP/Hub storage fixtures"
quiz,RESTORED,admin_set_score,HTTP,,,206,p:00000000-0000-4000-8000-000000000006,206,p:00000000-0000-4000-8000-000000000006,206,,HTTP_ACK_RUNTIME_NOT_UPDATED,"real registration/hydration, capacity filter, UI payload and handler; HTTP/Hub storage fixtures"
quiz,RESTORED,admin_set_score,WS,,,206,p:00000000-0000-4000-8000-000000000006,206,p:00000000-0000-4000-8000-000000000006,p:00000000-0000-4000-8000-000000000006,p:00000000-0000-4000-8000-000000000006,OK,"real registration/hydration, capacity filter, UI payload and handler; HTTP/Hub storage fixtures"
quiz,QR_DIRECT_WS,admin_set_score,HTTP,,,207,p:00000000-0000-4000-8000-000000000007,207,p:00000000-0000-4000-8000-000000000007,207,,HTTP_ACK_RUNTIME_NOT_UPDATED,"real registration/hydration, capacity filter, UI payload and handler; HTTP/Hub storage fixtures"
quiz,QR_DIRECT_WS,admin_set_score,WS,,,207,p:00000000-0000-4000-8000-000000000007,207,p:00000000-0000-4000-8000-000000000007,p:00000000-0000-4000-8000-000000000007,p:00000000-0000-4000-8000-000000000007,OK,"real registration/hydration, capacity filter, UI payload and handler; HTTP/Hub storage fixtures"
